LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,c_id,class,NUM_PT,CENTX,CENTY,DIST_FROM_CENTER,AREA,LENGTH,NUM_WAFER_PT,WAFER_CENTX,WAFER_CENTY,NUM_CLUSTER
L9223800,731,DD4ZQ731JKH0,0,none,24,6.018924749999999,-3.864166875,7.15256882413653,33540.79985863868,248.7706348593976,24,6.018924749999999,-3.864166875,0.0
L9223800,732,DD4ZQ732JKD7,0,none,19,-8.969280421052636,7.48523605263158,11.682326396531375,28753.141188293044,219.5532681164228,43,30.452924767441857,0.4146100697674418,4.0
L9223800,732,DD4ZQ732JKD7,1,focus_spot,6,-0.01892933333333328,3.776984833333333,3.7770322676528023,1.7938401843594998,4.055211298126893,43,30.452924767441857,0.4146100697674418,4.0
L9223800,732,DD4ZQ732JKD7,2,scratch,7,118.58307799999999,-32.642702285714286,122.99387139393514,5.5628250510054995,9.461228985353003,43,30.452924767441857,0.4146100697674418,4.0
L9223800,732,DD4ZQ732JKD7,3,none,6,9.691275666666668,4.117156166666668,10.52956784241627,2821.345916726797,95.67991571463973,43,30.452924767441857,0.4146100697674418,4.0
L9223800,732,DD4ZQ732JKD7,5,none,5,118.3552938,11.348563600000002,118.89813062562239,230.99664605777608,30.629740872808505,43,30.452924767441857,0.4146100697674418,4.0
L9225110,299,QAFDW299KOB1,0,none,17,14.415849058823529,10.10045335294118,17.602155039134384,42122.10481753487,271.1500255126183,33,23.351383212121213,26.744464151515142,1.0
L9225110,299,QAFDW299KOB1,1,none,16,32.84538825,44.42872562499999,55.25152658483536,36.33775122281549,9.433764152590264,33,23.351383212121213,26.744464151515142,1.0
L9225110,300,QAFDW300KOC5,0,none,14,34.697293214285715,10.471362642857141,36.24295230795005,42436.15925948073,279.5113894692054,14,34.697293214285715,10.471362642857141,0.0
L9225210,6,M7DAG006WAB7,0,none,9,18.07261377777778,68.22198266666668,70.57519598082382,6578.808620493905,152.33617506438176,19,-18.780150263157896,-10.907318315789473,1.0
L9225210,6,M7DAG006WAB7,3,none,10,-51.9476379,-82.1236892,97.17436601906756,5703.21637473354,179.0020087459201,19,-18.780150263157896,-10.907318315789473,1.0
L9225210,7,M7DAG007WAG1,0,none,10,-17.84521060000001,-38.896826299999994,42.79503052424106,22762.862609056414,252.90742834478732,10,-17.84521060000001,-38.896826299999994,0.0
L9225230,492,BHEIT492SJF0,0,none,12,-13.908464583333329,-10.100599,17.18916772926015,27270.007161118814,247.3721841382224,33,-4.6743282727272755,26.422387818181818,3.0
L9225230,492,BHEIT492SJF0,1,none,5,-110.2971494,-2.044285600000001,110.31609252226208,937.3983535431933,64.73077079988686,33,-4.6743282727272755,26.422387818181818,3.0
L9225230,492,BHEIT492SJF0,2,none,5,5.0407832,13.475058,14.387031777707529,66.18358459632401,27.534699315563266,33,-4.6743282727272755,26.422387818181818,3.0
L9225230,492,BHEIT492SJF0,3,none,11,48.99368845454546,85.0901930909091,98.18718077544163,2252.3355029307486,130.8925566317562,33,-4.6743282727272755,26.422387818181818,3.0
L9225230,493,BHEIT493SJB7,0,none,28,22.013643928571422,5.93815135714286,22.800485971888122,37263.10758045945,277.9977112350593,94,60.241985776595754,-36.20129115957446,3.0
L9225230,493,BHEIT493SJB7,1,scratch,8,38.993958000000006,37.203419749999995,53.89455632622328,0.6469916959590111,6.058150006538715,94,60.241985776595754,-36.20129115957446,3.0
L9225230,493,BHEIT493SJB7,2,scratch,52,79.73237353846154,-72.33478775,107.65487870465654,38.624456114924705,39.42565799108616,94,60.241985776595754,-36.20129115957446,3.0
L9225230,493,BHEIT493SJB7,3,none,6,98.05492416666665,-17.568000333333334,99.61627773131632,0.008254879863500167,0.22496977366082463,94,60.241985776595754,-36.20129115957446,3.0
L9225230,494,BHEIT494SJG1,0,none,3,-33.765247333333335,1.8399956666666668,33.81534432080392,14152.268833208469,264.4258309996939,19,19.30013352631579,19.493484052631576,2.0
L9225230,494,BHEIT494SJG1,1,none,9,5.394658555555558,-33.63584222222222,34.065704497768074,10169.781881074374,171.72795605513681,19,19.30013352631579,19.493484052631576,2.0
L9225230,494,BHEIT494SJG1,2,none,7,59.92090742857143,95.36839857142857,112.6305757471846,939.9573079484429,102.34923120554674,19,19.30013352631579,19.493484052631576,2.0
L9225230,495,BHEIT495SJD0,0,none,6,9.219879500000003,-29.755987333333334,31.15164458220487,23131.36576745612,225.4111576567812,24,-19.429871416666657,25.74849045833334,2.0
L9225230,495,BHEIT495SJD0,1,scratch,10,-54.404574100000005,119.5311774,131.3299663200774,13.622974535430458,19.10889917755076,24,-19.429871416666657,25.74849045833334,2.0
L9225230,495,BHEIT495SJD0,2,none,8,2.8011937499999995,-49.85150987499999,49.930148440018286,11177.815982150594,188.64443375401666,24,-19.429871416666657,25.74849045833334,2.0
L9225860,410,QAFFD410KOF1,0,none,2,52.881384999999995,-65.344115,84.06125293291464,0.0,211.6968547487036,29,10.3186555862069,18.024826000000004,3.0
L9225860,410,QAFFD410KOF1,1,none,8,-107.22171312500001,-8.916421875,107.59181355713257,2512.9251260009796,75.40292777913419,29,10.3186555862069,18.024826000000004,3.0
L9225860,410,QAFFD410KOF1,2,none,5,76.0540432,-68.59669219999999,102.41935201830269,257.2782086803105,61.81003841689673,29,10.3186555862069,18.024826000000004,3.0
L9225860,410,QAFFD410KOF1,3,none,14,47.92726650000001,76.26593000000001,90.07505177865248,7825.792016860524,174.44051734740236,29,10.3186555862069,18.024826000000004,3.0
L9225860,411,QAFFD411KOC0,0,none,8,-19.871252125,9.822118624999998,22.166205703703305,24682.233696393105,250.2899333331242,8,-19.871252125,9.822118624999998,0.0
L9225900,72,M7D2L072WAC6,0,none,21,-10.558744380952376,-25.302787285714295,27.41747850055505,28285.081060674354,246.44531674866482,73,44.861399712328776,-26.05317363013699,4.0
L9225900,72,M7D2L072WAC6,3,focus_spot,35,81.96060254285712,-61.771425542857145,102.63161980006426,0.7080916803625005,1.1032907223501895,73,44.861399712328776,-26.05317363013699,4.0
L9225900,72,M7D2L072WAC6,4,focus_spot,6,111.68535083333335,20.1516535,113.48879561238113,36.62259288522749,10.411407978580508,73,44.861399712328776,-26.05317363013699,4.0
L9225900,72,M7D2L072WAC6,5,none,5,-94.0559926,38.9920856,101.81803614001294,1853.331452342094,79.76074624406954,73,44.861399712328776,-26.05317363013699,4.0
